Hotel Name,Address,Area,City,District,State,Pincode,Latitude,Longitude
GVR Prime Hotel,"54-1-16, Vasavi Nagar",AUTONAGAR,Guntur,GUNTUR,Andhra Pradesh,522001,16.315726943303652,80.47302732967047
Krishna Exotica 3bhk,"Block No. A4, Dona Terezinha hotel, ",GAVRAWADA,Calangute,GOA,Goa,403516,15.535161869092052,73.7645882441809
Bon Stay Inn,"No:13, Thottakkal Main Rd, JVS Nagar ",ORLEANPET,Pondicherry,PUDUCHERRY,Puducherry,605003,11.927035940262638,79.81507824232874
Grand Continent Hotel,"53, Srinagar Colony Main Rd, Sagar Society",AURORA COLONY,Hyderabad,HYDERABAD,Telangana,500073,17.428926843588847,78.43883621349094
Moon Shine Cottage,"No:799/70-70A, Heaven Hill Campus",WOOD COCK ROAD,Ooty,NILGIRIS (OOTY),Tamil Nadu,643001,11.40970729518568,76.68704185833924
Lavish Homestay 1,"Lavish Stay 1,No.61, Bharathi Nagar",KOTTAKUPPAM,Pondicherry,PUDUCHERRY,Puducherry,605104,11.968360166352372,79.84019483437004
GM Grand,Periyakulam Road,ANNANJIVILAKKU,Theni,THENI,Tamil Nadu,625531,10.044200173339584,77.4966501285761
Beach And Breeze Villa,"Nemmeli, Dark House Road, ECR",MAHABALIPURAM,Chennai,CHENGALPATTU,Tamil Nadu,603104,12.71907609368284,80.22877878147094
Hotel Manoshanthi,Dr. Dada Vaidya road,ALTINHO,Panaji,GOA,Goa,403001,15.495315608011323,73.82441551534471
JVH Hotel,"289, Domlur 1 stage",AMARJYOTHI LAYOUT,Bangalore,BENGALURU,Karnataka,560071,12.956124010868209,77.64098560757655
Mount City Park,"No- 31,1st Cross Rd,1st Stage, BTM Layout",ZUZUVADI,Bangalore,BENGALURU,Karnataka,560068,12.927176682251105,77.61621943068596
Suraksha Inn," 475, Shri Krishna Temple Rd, Indira Nagar 1st Stage, Stage 1, Indiranagar, Bengaluru, Karnataka 560038",INDIRANAGAR,Bangalore,BENGALURU,Karnataka,560038,12.979121313772856,77.64203055952262
Thirumal Residency,"New Busstand, vasanth Nagar",TIRUNALVELI,Tirunelveli,TIRUNELVELI,Tamil Nadu,627005,8.700710926243032,77.72714762883618
